name,year,xPos,yPos,belligerent1,belligerent2,battleType,strength1,strength2,casualties1,casualties2,leader1,leader2,result,partOf,wikiUrl,youtubeUrl,icon1,icon2,winner
Lelantine plain,700,387,334,Eretria and allies,Chalcis and allies,land,3660,4100,,,,,Chalcis victory,Lelantine War,https://en.wikipedia.org/wiki/Lelantine_War,,eretria,chalcis,2
Hysiae,669,265,515,Sparta,Argos,land,,,,,,King Pheidon,Argos victory,,https://en.wikipedia.org/wiki/Battle_of_Hysiae,https://www.youtube.com/watch?v=JhNNgDAndEg,sparta,argos,2
Marathon,490,437,403,Greek city-states,Persian Empire,land,11000,130000,2000,4500,Miltiades,Datis,Decisive Greek victory,Persian Wars,https://en.wikipedia.org/wiki/Battle_of_Marathon,https://www.youtube.com/watch?v=ZiOwZ6XWyDQ,greek,persia,1
Thermopylae,480,253,310,Greek city-states,Persian Empire,land,7000,185000,4000,20000,King Leonidas I,King Xerxes I of Persia,Persian victory,Persian Wars,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,https://www.youtube.com/watch?v=0M92jsuhX7M,greek,persia,2
Salamis,480,387,435,Greek city-states,Persian Empire,naval,375,1050,40,250,Themistocles,King Xerxes I of Persia,Decisive Greek victory,Persian Wars,https://en.wikipedia.org/wiki/Battle_of_Salamis,https://www.youtube.com/watch?v=HJa3Y6hawO0,greek,persia,1
Plataea,479,365,390,Greek city-states,Persian Empire,land,80000,100000,10000,15000,Pausanias,Mardonius,Greek victory,Persian Wars,https://en.wikipedia.org/wiki/Battle_of_Plataea,https://www.youtube.com/watch?v=vINfoLsqAx4,greek,persia,1
Mycale,479,940,513,Greek city-states,Persian Empire,land,40000,60000,20000,40000,Leotychides,Artayntes,Greek victory,Persian Wars,https://en.wikipedia.org/wiki/Battle_of_Mycale,https://www.youtube.com/watch?v=HR_M5GsiorE&list=PLZr2JvFQqLWQavbd7hRfuM7JmGs3eK0Uv&index=5,greek,persia,1
Tanagra,457,390,380,Athens,Sparta,land,14000,11500,,,Myronides,Nicomedes,Phyrric Spartan victory,First Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Tanagra_(457_BC),https://www.youtube.com/watch?v=c-w1e_sto_I,athens,sparta,2
Oenophyta,457,370,365,Athens,Boeotia,land,,,,,Myronides,,Decisive Athenian victory,First Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Oenophyta,https://www.youtube.com/watch?v=s3WkW2UTdKQ,athens,boeotia,1
Pylos,425,115,570,Athens,Sparta,naval,50,60,8,18,Demosthenes,Thrasymelidas,Athenian victory,Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Pylos,https://www.youtube.com/watch?v=7KNxKtE3_Y8,athens,sparta,,1
Delium,424,422,388,Athens,Boeotia,land,15000,18500,1200,500,Hippocrates,Pagondas,Boeotian victory,Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Delium,https://www.youtube.com/watch?v=NVCkSRw_kpY,athens,boeotia,2
Mantinea,418,220,460,Sparta,Athens,land,9000,8000,300,1100,King Agis II,Laches,Spartan victory,Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(418_BC),https://www.youtube.com/watch?v=3YNHTbsaLD8,sparta,athens,1
Arginusae,406,810,282,Sparta,Athens,naval,120,155,70,25,Callicratidas,8 strategoi,Athenian victory,Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Arginusae,https://www.youtube.com/watch?v=RSFPXCXphjs,sparta,athens,2
Aegospotami,404,811,79,Sparta,Athens,naval,180,170,8,150,Lysander,Conon,Decisive Spartan victory,Peloponnesian War,https://en.wikipedia.org/wiki/Battle_of_Aegospotami,https://www.youtube.com/watch?v=FT7NLbQ9Ygw,sparta,athens,1
Haliartus,395,325,370,Sparta,Thebes,land,,,,,Lysander,,Theban victory,Corinthian War,https://en.wikipedia.org/wiki/Battle_of_Haliartus,https://www.youtube.com/watch?v=ho-OpEgDNQE,sparta,thebes,2
Nemea,394,250,430,Sparta,Thebes,land,18000,24000,1100,2800,Aristodemus,,Decisive Spartan victory,Corinthian War,https://en.wikipedia.org/wiki/Battle_of_Nemea,https://www.youtube.com/watch?v=0rMGWrQIT7g,sparta,thebes,1
Cnidus,394,905,595,Athens,Sparta,naval,90,85,10,85,Conon,Peisander,Decisive Athenian victory,Corinthian War,https://en.wikipedia.org/wiki/Battle_of_Cnidus,https://www.youtube.com/watch?v=ofOZWkfI2tU,athens,sparta,1
Coronea,394,310,377,Sparta,Thebes,land,15000,20000,350,600,King Agesilaus II,,Spartan victory,Corinthian War,https://en.wikipedia.org/wiki/Battle_of_Coronea_(394_BC),https://www.youtube.com/watch?v=_s9zq2ZauU4,sparta,thebes,1
Lechaeum,391,300,430,Athens,Sparta,land,800,600,100,250,Ipichrates,,Athenian victory,Corinthian War,https://en.wikipedia.org/wiki/Battle_of_Lechaeum,https://www.youtube.com/watch?v=X9nBRs7fhfU,athens,sparta,1
Tegyra,375,295,360,Thebes,Sparta,land,300,1400,,,Pelopidas,Gorgoleon,Theban victory,post-Corinthian Wars,https://en.wikipedia.org/wiki/Battle_of_Tegyra,https://www.youtube.com/watch?v=fNHzFYt3acc,thebes,sparta,1
Leuctra,371,340,373,Thebes,Sparta,land,8000,11500,300,4000,Epaminondas,King Cleombrotus I,Decisive Theban victory,post-Corinthian Wars,https://en.wikipedia.org/wiki/Battle_of_Leuctra,https://www.youtube.com/watch?v=kOd9eQlk84M,thebes,sparta,1
Chaeronea,338,280,350,Macedon,Greek city-states,land,32000,35000,500,6000,King Phillip II of Macedon,Chares,Decisive Macedonian victory,Macedonian Conquest of Greece,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),https://www.youtube.com/watch?v=fcz3Gg9mgj8,macedon,greek,1
Granicus,334,765,136,Macedon,Persian Empire,land,37100,25500,350,6000,Alexander the Great,Arsames,Macedonian victory,Wars of Alexander the Great,https://en.wikipedia.org/wiki/Battle_of_the_Granicus,https://www.youtube.com/watch?v=Csg2o9TNNJ8,macedon,persia,1
Sellasia,222,219,537,Macedon,Sparta,land,29200,20650,3000,5800,King Antigonus III Doson,King Cleomenes III,Decisive Macedonian victory,Cleomenean War,https://en.wikipedia.org/wiki/Battle_of_Sellasia,https://www.youtube.com/watch?v=e51kHZoh930,macedon,sparta,1
Cynoscephalae,197,227,212,Roman Republic,Macedon,land,24500,27000,2000,13000,Titus Quinctius Flamininus,King Philip V of Macedon,Decisive Roman victory,Second Macedonian War,https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae,https://www.youtube.com/watch?v=cbj_nA6ZsB0,roman,macedon,1
Pydna,168,248,84,Macedon,Roman Republic,land,44000,29000,25000,1000,King Perseus,Lucius Aemilius Paullus,Decisive Roman victory,Third Macedonian War,https://en.wikipedia.org/wiki/Battle_of_Pydna,https://www.youtube.com/watch?v=2adFPVtQ8Hg,macedon,roman,2